id,api_uri,first_name,middle_name,last_name,date_of_birth,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,url,rss_url,contact_form,in_office,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct
B000490,https://api.propublica.org/congress/v1/members/B000490.json,Sanford,D.,Bishop Jr.,1947-02-04,D,,SanfordBishop,sanfordbishop,RepSanfordBishop,400030,26194,26817,29339,N00002674,/m/02554k,https://bishop.house.gov/,https://bishop.house.gov/rss.xml,,true,-0.279,,26,2018,529,16,0,ocd-division/country:us/state:ga/cd:2,2407 Rayburn House Office Building,202-225-3631,202-225-2203,GA,2,false,1302,3.02,92.4
B000574,https://api.propublica.org/congress/v1/members/B000574.json,Earl,,Blumenauer,1948-08-16,D,,BlumenauerMedia,,RepBlumenauer,400033,43809,367,29588,N00007727,/m/033tw8,https://blumenauer.house.gov/,,,true,-0.429,,24,2018,529,15,0,ocd-division/country:us/state:or/cd:3,1111 Longworth House Office Building,202-225-4811,202-225-8941,OR,3,false,4103,2.84,94.75
B000755,https://api.propublica.org/congress/v1/members/B000755.json,Kevin,,Brady,1955-04-11,R,,RepKevinBrady,kevinbrady,KBrady8,400046,45749,361,29760,N00005883,/m/03tq00,https://kevinbrady.house.gov/,,,true,0.52,,22,2018,529,19,0,ocd-division/country:us/state:tx/cd:8,1011 Longworth House Office Building,202-225-4901,202-225-5524,TX,8,false,4808,3.59,98.04
B001227,https://api.propublica.org/congress/v1/members/B001227.json,Robert,A.,Brady,1945-04-07,D,,RepBrady,RepRobertBrady,BradyPA01,400047,55227,2519,29777,N00001619,/m/03tq5z,https://brady.house.gov/,https://brady.house.gov/rss.xml,,true,-0.483,,22,2018,529,5,0,ocd-division/country:us/state:pa/cd:1,2004 Rayburn House Office Building,202-225-4731,202-225-0088,PA,1,false,4201,0.95,95.04
B001243,https://api.propublica.org/congress/v1/members/B001243.json,Marsha,,Blackburn,1952-06-06,R,,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,400032,31226,25186,20351,N00003105,/m/01fnkt,https://blackburn.house.gov/,https://blackburn.house.gov/news/rss.aspx,,true,0.614,,16,2018,529,11,0,ocd-division/country:us/state:tn/cd:7,2266 Rayburn House Office Building,202-225-2811,202-225-3004,TN,7,false,4707,2.08,97.3
B001245,https://api.propublica.org/congress/v1/members/B001245.json,Madeleine,Z.,Bordallo,1933-05-31,D,,,madeleine.bordallo,,400041,1003568,1751,70701,N00024866,/m/01s_xp,https://bordallo.house.gov/,,,true,,,16,2018,0,,,ocd-division/country:us/state:gu/cd:79,,,,GU,At-Large,true,6698,,
B001248,https://api.propublica.org/congress/v1/members/B001248.json,Michael,C.,Burgess,1950-12-23,R,,MichaelCBurgess,michaelcburgess,michaelcburgessmd,400052,1003620,50120,20355,N00025219,/m/03tq8_,https://burgess.house.gov/,https://burgess.house.gov/news/rss.aspx,,true,0.57,,16,2018,529,3,0,ocd-division/country:us/state:tx/cd:26,2336 Rayburn House Office Building,202-225-7772,202-225-2919,TX,26,false,4826,0.57,95.06
B001250,https://api.propublica.org/congress/v1/members/B001250.json,Rob,,Bishop,1951-07-13,R,,RepRobBishop,RepRobBishop,CongressmanBishop,400029,1003621,50544,20357,N00025292,/m/02tn41,https://robbishop.house.gov/,https://robbishop.house.gov/news/rss.aspx,,true,0.532,,16,2018,529,15,0,ocd-division/country:us/state:ut/cd:1,123 Cannon House Office Building,202-225-0453,202-225-5857,UT,1,false,4901,2.84,96.69
B001251,https://api.propublica.org/congress/v1/members/B001251.json,G.,K.,Butterfield,1947-04-27,D,,GKButterfield,congressmangkbutterfield,GKBNC01,400616,1013540,41077,20340,N00027035,/m/03g_pq,https://butterfield.house.gov/,,,true,-0.406,,16,2018,529,24,0,ocd-division/country:us/state:nc/cd:1,2080 Rayburn House Office Building,202-225-3101,202-225-3354,NC,1,false,3701,4.54,96.44
B001257,https://api.propublica.org/congress/v1/members/B001257.json,Gus,,Bilirakis,1963-02-08,R,,RepGusBilirakis,GusBilirakis,RepGusBilirakis,412250,1022873,17318,20758,N00027462,/m/0dy3z1,https://bilirakis.house.gov/,,,true,0.397,,14,2018,529,30,0,ocd-division/country:us/state:fl/cd:12,2112 Rayburn House Office Building,202-225-5755,202-225-4085,FL,12,false,1212,5.67,98.6
B001260,https://api.propublica.org/congress/v1/members/B001260.json,Vern,,Buchanan,1951-05-08,R,,VernBuchanan,CongressmanBuchanan,vernbuchanan,412196,1021626,66247,20709,N00027626,/m/0gtjsp,https://buchanan.house.gov/,https://buchanan.house.gov/rss.xml,,true,0.359,,12,2018,529,36,0,ocd-division/country:us/state:fl/cd:16,2104 Rayburn House Office Building,202-225-5015,202-226-0828,FL,16,false,1216,6.81,95.54
B001269,https://api.propublica.org/congress/v1/members/B001269.json,Lou,,Barletta,1956-01-28,R,,RepLouBarletta,CongressmanLouBarletta,reploubarletta,412469,29618,47143,21171,N00025495,/m/03wcvjl,https://barletta.house.gov/,https://barletta.house.gov/rss.xml,,true,0.276,,8,2018,529,26,0,ocd-division/country:us/state:pa/cd:11,2049 Rayburn House Office Building,202-225-6511,202-225-0764,PA,11,false,4211,4.91,93.64
B001270,https://api.propublica.org/congress/v1/members/B001270.json,Karen,,Bass,1953-10-03,D,,RepKarenBass,RepKarenBass,RepKarenBass,412404,62502,28963,21110,N00031877,/m/027g9m6,https://bass.house.gov/,https://bass.house.gov/rss.xml,,true,-0.555,,8,2018,529,23,0,ocd-division/country:us/state:ca/cd:37,2241 Rayburn House Office Building,202-225-7084,202-225-2422,CA,37,false,0637,4.35,94.66
B001273,https://api.propublica.org/congress/v1/members/B001273.json,Diane,,Black,1951-01-16,R,,RepDianeBlack,DianeBlackTN06,RepDianeBlack,412478,9268964,25292,21180,N00031539,/m/0cyvxl,https://black.house.gov/,https://black.house.gov/rss.xml,,true,0.58,,8,2018,529,29,0,ocd-division/country:us/state:tn/cd:6,1131 Longworth House Office Building,202-225-4231,202-225-6887,TN,6,false,4706,5.48,98.4
B001274,https://api.propublica.org/congress/v1/members/B001274.json,Mo,,Brooks,1954-04-29,R,,RepMoBrooks,155220881193244,RepMoBrooks,412395,94888,121610,21193,N00030910,/m/0c3xdjf,https://brooks.house.gov/,,,true,0.594,,8,2018,529,28,0,ocd-division/country:us/state:al/cd:5,2400 Rayburn House Office Building,202-225-4801,202-225-4392,AL,5,false,0105,5.29,95.21
B001275,https://api.propublica.org/congress/v1/members/B001275.json,Larry,,Bucshon,1962-05-31,R,,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,412427,61837,120335,21132,N00031227,/m/0dd9k_y,https://bucshon.house.gov/,https://bucshon.house.gov/rss.xml,,true,0.397,,8,2018,529,8,0,ocd-division/country:us/state:in/cd:8,1005 Longworth House Office Building,202-225-4636,202-225-3284,IN,8,false,1808,1.51,93.28
B001278,https://api.propublica.org/congress/v1/members/B001278.json,Suzanne,,Bonamici,1954-10-14,D,,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,412501,63966,59641,21198,N00033474,/m/02q453x,https://bonamici.house.gov/,https://bonamici.house.gov/rss.xml,,true,-0.394,,8,2018,529,2,0,ocd-division/country:us/state:or/cd:1,439 Cannon House Office Building,202-225-0855,202-225-9497,OR,1,false,4101,0.38,95.26
B001281,https://api.propublica.org/congress/v1/members/B001281.json,Joyce,,Beatty,1950-03-12,D,,RepBeatty,RepJoyceBeatty,,412565,67294,2427,21352,N00033904,/m/03lcwb,https://beatty.house.gov/,https://beatty.house.gov/rss.xml,,true,-0.44,,6,2018,529,15,0,ocd-division/country:us/state:oh/cd:3,133 Cannon House Office Building,202-225-4324,202-225-1984,OH,3,false,3903,2.84,96.5
B001282,https://api.propublica.org/congress/v1/members/B001282.json,Andy,,Barr,1973-07-24,R,,RepAndyBarr,RepAndyBarr,RepAndyBarr,412541,61848,117290,21333,N00031233,/m/0ddc6r6,https://barr.house.gov/,https://barr.house.gov/rss.xml,,true,0.471,,6,2018,529,9,0,ocd-division/country:us/state:ky/cd:6,1427 Longworth House Office Building,202-225-4706,,KY,6,false,2106,1.7,96.35
B001283,https://api.propublica.org/congress/v1/members/B001283.json,Jim,,Bridenstine,1975-06-15,R,,RepJBridenstine,CongressmanJimBridenstine,RepJimBridenstine,412567,79705,135894,21354,N00033532,/m/0jwyd6r,https://bridenstine.house.gov/,,,true,0.695,,6,2018,529,110,0,ocd-division/country:us/state:ok/cd:1,216 Cannon House Office Building,202-225-2211,918-935-2716,OK,1,false,4001,20.79,96.66
B001284,https://api.propublica.org/congress/v1/members/B001284.json,Susan,,Brooks,1960-08-25,R,,SusanWBrooks,congresswomansusanwbrooks,SusanWBrooks,412539,623720,135988,21331,N00033495,/m/0jt8ng2,https://susanwbrooks.house.gov/,https://susanwbrooks.house.gov/rss.xml,,true,0.377,,6,2018,529,3,0,ocd-division/country:us/state:in/cd:5,1030 Longworth House Office Building,202-225-2276,202-225-0016,IN,5,false,1805,0.57,95.82
B001285,https://api.propublica.org/congress/v1/members/B001285.json,Julia,,Brownley,1952-08-28,D,,JuliaBrownley26,RepJuliaBrownley,RepJuliaBrownley,412516,79783,59904,21308,N00034254,/m/027z42z,https://juliabrownley.house.gov/,https://juliabrownley.house.gov/rss.xml,,true,-0.277,,6,2018,529,0,0,ocd-division/country:us/state:ca/cd:26,1019 Longworth House Office Building,202-225-5811,202-225-1100,CA,26,false,0626,0,95.27
B001286,https://api.propublica.org/congress/v1/members/B001286.json,Cheri,,Bustos,1961-10-17,D,,RepCheri,RepCheri,RepCheri,412537,63949,134964,21329,N00033390,/m/0jwwtrm,https://bustos.house.gov/,https://bustos.house.gov/category/press-release/feed/,,true,-0.238,,6,2018,529,4,0,ocd-division/country:us/state:il/cd:17,1009 Longworth House Office Building,202-225-5905,309-786-3720,IL,17,false,1717,0.76,95.24
B001287,https://api.propublica.org/congress/v1/members/B001287.json,Ami,,Bera,1965-03-02,D,,RepBera,RepAmiBera,repamibera,412512,1033636,120030,21304,N00030717,/m/0dgqnts,https://bera.house.gov/,https://bera.house.gov/rss.xml,,true,-0.223,,6,2018,529,1,0,ocd-division/country:us/state:ca/cd:7,1431 Longworth House Office Building,202-225-5716,202-226-1298,CA,7,false,0607,0.19,92.42
B001289,https://api.propublica.org/congress/v1/members/B001289.json,Bradley,,Byrne,1955-02-16,R,,RepByrne,RepByrne,,412601,73486,27584,21376,N00035380,/m/09g6kty,https://byrne.house.gov/,https://byrne.house.gov/rss.xml,,true,0.533,,6,2018,529,2,0,ocd-division/country:us/state:al/cd:1,119 Cannon House Office Building,202-225-4931,202-225-0562,AL,1,false,0101,0.38,98.1
B001290,https://api.propublica.org/congress/v1/members/B001290.json,David,A.,Brat,1964-07-27,R,,RepDaveBrat,RepDaveBrat,,412605,75248,152270,21553,N00036013,/m/010qykqw,https://brat.house.gov/,,,true,0.832,,6,2018,529,8,0,ocd-division/country:us/state:va/cd:7,1628 Longworth House Office Building,202-225-2815,,VA,7,false,5107,1.51,95.59
B001291,https://api.propublica.org/congress/v1/members/B001291.json,Brian,,Babin,1948-03-23,R,,RepBrianBabin,RepBrianBabin,,412655,44883,360,21551,N00005736,/m/010qgj35,https://babin.house.gov/,,,true,0.716,,4,2018,529,9,0,ocd-division/country:us/state:tx/cd:36,316 Cannon House Office Building,202-225-1555,202-226-0396,TX,36,false,4836,1.7,95.96
B001292,https://api.propublica.org/congress/v1/members/B001292.json,Donald,,Beyer,1950-06-20,D,,repdonbeyer,repdonbeyer,,412657,21141,1707,21554,N00036018,/m/053g16,https://beyer.house.gov/,,,true,-0.374,,4,2018,529,14,0,ocd-division/country:us/state:va/cd:8,1119 Longworth House Office Building,202-225-4376,202-225-0017,VA,8,false,5108,2.65,94.76
B001293,https://api.propublica.org/congress/v1/members/B001293.json,Mike,,Bishop,1967-03-18,R,,RepMikeBishop,RepMikeBishop,,412635,78290,20157,21527,N00036449,/m/027qc0m,https://mikebishop.house.gov/,https://mikebishop.house.gov/rss.xml,,true,0.436,,4,2018,529,4,0,ocd-division/country:us/state:mi/cd:8,428 Cannon House Office Building,202-225-4872,202-225-5820,MI,8,false,2608,0.76,95.62
B001294,https://api.propublica.org/congress/v1/members/B001294.json,Rod,,Blum,1955-04-26,R,,RepRodBlum,congressmanrodblum,,412627,623771,135714,21520,N00033744,/m/0127p02j,https://blum.house.gov/,https://blum.house.gov/rss.xml,,true,0.522,,4,2018,529,7,1,ocd-division/country:us/state:ia/cd:1,1108 Longworth House Office Building,202-225-2911,,IA,1,false,1901,1.32,91
B001295,https://api.propublica.org/congress/v1/members/B001295.json,Mike,,Bost,1960-12-30,R,,RepBost,RepBost,,412629,76176,,21519,N00035420,/m/0kry42,https://bost.house.gov/,https://bost.house.gov/rss.xml,,true,0.281,,4,2018,529,3,0,ocd-division/country:us/state:il/cd:12,1440 Longworth House Office Building,202-225-5661,202-225-0285,IL,12,false,1712,0.57,91.64
B001296,https://api.propublica.org/congress/v1/members/B001296.json,Brendan,,Boyle,1977-02-06,D,,RepBrendanBoyle,CongressmanBoyle,,412652,76428,47357,21548,N00035307,/m/04f4fjk,https://boyle.house.gov/,https://boyle.house.gov/rss.xml,,true,-0.379,,4,2018,529,14,0,ocd-division/country:us/state:pa/cd:13,1133 Longworth House Office Building,202-225-6111,202-226-0611,PA,13,false,4213,2.65,95.53
B001297,https://api.propublica.org/congress/v1/members/B001297.json,Ken,,Buck,1959-02-16,R,,RepKenBuck,repkenbuck,,412619,78285,125319,21510,N00030829,/m/05zzjd2,https://buck.house.gov/,https://buck.house.gov/rss.xml,,true,0.734,,4,2018,529,3,0,ocd-division/country:us/state:co/cd:4,1130 Longworth House Office Building,202-225-4676,202-225-5870,CO,4,false,0804,0.57,93.54
B001298,https://api.propublica.org/congress/v1/members/B001298.json,Don,,Bacon,1963-08-16,R,,,,,412713,103442,166299,,N00037049,/m/01311t71,https://bacon.house.gov/,https://bacon.house.gov/rss.xml,,true,,,2,2018,529,0,0,ocd-division/country:us/state:ne/cd:2,1516 Longworth House Office Building,202-225-4155,,NE,2,false,3102,0,95.27
B001299,https://api.propublica.org/congress/v1/members/B001299.json,Jim,,Banks,1979-07-16,R,,RepJimBanks,RepJimBanks,,412702,89806,116801,,N00037185,/m/0j621nj,https://banks.house.gov/,,,true,,,2,2018,529,2,0,ocd-division/country:us/state:in/cd:3,509 Cannon House Office Building,202-225-4436,,IN,3,false,1803,0.38,97.34
B001300,https://api.propublica.org/congress/v1/members/B001300.json,Nanette,,Barragán,1976-09-15,D,,RepBarragan,CongresswomanBarragan,,412687,104730,166270,,N00037019,/g/11bx55ybbz,https://barragan.house.gov/,,,true,,,2,2018,529,2,0,ocd-division/country:us/state:ca/cd:44,1320 Longworth House Office Building,202-225-8220,,CA,44,false,0644,0.38,96.2
B001301,https://api.propublica.org/congress/v1/members/B001301.json,Jack,,Bergman,1947-02-02,R,,RepJackBergman,RepJackBergman,,412709,1020529,170172,,N00039533,/m/05b2l3v,https://bergman.house.gov/,,,true,,,2,2018,529,0,0,ocd-division/country:us/state:mi/cd:1,414 Cannon House Office Building,202-225-4735,,MI,1,false,2601,0,94.33
B001302,https://api.propublica.org/congress/v1/members/B001302.json,Andy,,Biggs,1958-11-07,R,,RepAndyBiggsAZ,RepAndyBiggs,,412683,105145,28088,,N00039293,/m/0_1m23v,https://biggs.house.gov/,https://biggs.house.gov/rss.xml,,true,,,2,2018,529,0,0,ocd-division/country:us/state:az/cd:5,1626 Longworth House Office Building,202-225-2635,,AZ,5,false,0405,0,94.33
B001303,https://api.propublica.org/congress/v1/members/B001303.json,Lisa,,Blunt Rochester,1962-02-10,D,,RepBRochester,Rep.BluntRochester,,412689,104772,173249,,N00038414,/g/11c328y56v,https://bluntrochester.house.gov/,,,true,,,2,2018,529,4,0,ocd-division/country:us/state:de/cd:1,1123 Longworth House Office Building,202-225-4165,,DE,At-Large,true,1000,0.76,97.52
B001304,https://api.propublica.org/congress/v1/members/B001304.json,Anthony,,Brown,1961-11-21,D,,,,,412707,1029537,19344,,N00036999,/m/09v6fg,https://anthonybrown.house.gov/,https://anthonybrown.house.gov/rss.xml,,true,,,2,2018,529,13,0,ocd-division/country:us/state:md/cd:4,1505 Longworth House Office Building,202-225-8699,,MD,4,false,2404,2.46,97.09
B001305,https://api.propublica.org/congress/v1/members/B001305.json,Ted,,Budd,1971-10-21,R,,RepTedBudd,RepTedBudd,,412712,103513,171489,,N00039551,/g/11c2nmnsj0,https://budd.house.gov/,https://budd.house.gov/rss.xml,,true,,,2,2018,529,2,0,ocd-division/country:us/state:nc/cd:13,118 Cannon House Office Building,202-225-4531,,NC,13,false,3713,0.38,96.39
C000059,https://api.propublica.org/congress/v1/members/C000059.json,Ken,,Calvert,1953-06-08,R,,KenCalvert,RepKenCalvert,RepKenCalvert,400057,26709,26777,29323,N00007099,/m/024xl1,https://calvert.house.gov/,https://calvert.house.gov/news/rss.aspx,,true,0.346,,26,2018,529,6,0,ocd-division/country:us/state:ca/cd:42,2205 Rayburn House Office Building,202-225-1986,202-225-2004,CA,42,false,0642,1.13,96.37
C000266,https://api.propublica.org/congress/v1/members/C000266.json,Steven,J.,Chabot,1953-01-22,R,,RepSteveChabot,RepSteveChabot,congressmanchabot,400071,36705,21790,29550,N00003689,/m/0343vk,https://chabot.house.gov/,,,true,0.583,,8,2018,529,0,0,ocd-division/country:us/state:oh/cd:1,2371 Rayburn House Office Building,202-225-2216,202-225-3012,OH,1,false,3901,0,98.49
C000537,https://api.propublica.org/congress/v1/members/C000537.json,James,E.,Clyburn,1940-07-21,D,Assistant Leader,Clyburn,jameseclyburn,repjamesclyburn,400075,21607,27066,39301,N00002408,/m/03c469,http://clyburn.house.gov/,http://clyburn.house.gov/rss.xml,,true,-0.464,,26,2018,529,71,0,ocd-division/country:us/state:sc/cd:6,242 Cannon House Office Building,202-225-3315,202-225-2313,SC,6,false,4506,13.42,94.76
C000714,https://api.propublica.org/congress/v1/members/C000714.json,John,,Conyers Jr.,1929-05-16,D,,RepJohnConyers,CongressmanConyers,JCMI14,400080,1824,26904,10713,N00004029,/m/02hy5d,https://conyers.house.gov/,https://conyers.house.gov/rss.xml,,true,-0.659,,54,2018,529,13,0,ocd-division/country:us/state:mi/cd:13,2426 Rayburn House Office Building,202-225-5126,202-225-0072,MI,13,false,2613,2.46,94.77
C000754,https://api.propublica.org/congress/v1/members/C000754.json,Jim,,Cooper,1954-06-19,D,,RepJimCooper,JimCooper,RepJimCooper,400081,1201,48891,15019,N00003132,/m/03tm2p,https://cooper.house.gov/,https://cooper.house.gov/rss.xml,,true,-0.162,,16,2018,529,4,0,ocd-division/country:us/state:tn/cd:5,1536 Longworth House Office Building,202-225-4311,202-226-1035,TN,5,false,4705,0.76,89.9
C000984,https://api.propublica.org/congress/v1/members/C000984.json,Elijah,E.,Cummings,1951-01-18,D,,RepCummings,elijahcummings,ElijahECummings,400090,43300,345,29587,N00001971,/m/025k9h,https://cummings.house.gov/,https://cummings.house.gov/rss.xml,,true,-0.438,,24,2018,529,225,0,ocd-division/country:us/state:md/cd:7,2163 Rayburn House Office Building,202-225-4741,202-225-3178,MD,7,false,2407,42.53,96.05
C001037,https://api.propublica.org/congress/v1/members/C001037.json,Michael,E.,Capuano,1952-01-09,D,,RepMikeCapuano,RepMichaelCapuano,RepMikeCapuano,400063,56760,18883,29919,N00000267,/m/028vsm,http://capuano.house.gov/,,,true,-0.579,,20,2018,529,2,1,ocd-division/country:us/state:ma/cd:7,1414 Longworth House Office Building,202-225-5111,202-225-9322,MA,7,false,2507,0.38,94.5
C001038,https://api.propublica.org/congress/v1/members/C001038.json,Joseph,,Crowley,1962-03-16,D,Caucus Chair,RepJoeCrowley,repjoecrowley,RepJoeCrowley,400087,57880,4295,29925,N00001127,/m/03v10s,https://crowley.house.gov/,https://crowley.house.gov/rss.xml,,true,-0.405,,20,2018,529,18,0,ocd-division/country:us/state:ny/cd:14,1035 Longworth House Office Building,202-225-3965,202-225-1909,NY,14,false,3614,3.4,95.69
C001048,https://api.propublica.org/congress/v1/members/C001048.json,John,,Culberson,1956-08-24,R,,CongCulberson,,johnculbersontx07,400089,88078,5488,20139,N00009738,/m/03sfhc,https://culberson.house.gov/,,,true,0.504,,18,2018,529,4,0,ocd-division/country:us/state:tx/cd:7,2161 Rayburn House Office Building,202-225-2571,202-225-4381,TX,7,false,4807,0.76,97.33
C001049,https://api.propublica.org/congress/v1/members/C001049.json,William,Lacy,Clay,1956-07-27,D,,,109135405838588,WilliamLacyClay,400074,88332,8967,20147,N00012460,/m/024vjr,https://lacyclay.house.gov/,,,true,-0.488,,18,2018,529,12,0,ocd-division/country:us/state:mo/cd:1,2428 Rayburn House Office Building,202-225-2406,202-226-3717,MO,1,false,2901,2.27,95.94
C001051,https://api.propublica.org/congress/v1/members/C001051.json,John,,Carter,1941-11-06,R,,JudgeCarter,judgecarter,repjohncarter,400068,1004257,49296,20356,N00025095,/m/03whyr,https://carter.house.gov/,https://carter.house.gov/common/rss/?rss=40,,true,0.468,,16,2018,529,5,0,ocd-division/country:us/state:tx/cd:31,2110 Rayburn House Office Building,202-225-3864,202-225-5886,TX,31,false,4831,0.95,97.33
C001053,https://api.propublica.org/congress/v1/members/C001053.json,Tom,,Cole,1949-04-28,R,,TomColeOK04,TomColeOK04,reptomcole,400077,1003609,46034,20344,N00025726,/m/03tqb0,https://cole.house.gov/,https://cole.house.gov/rss.xml,,true,0.338,,16,2018,529,16,0,ocd-division/country:us/state:ok/cd:4,2467 Rayburn House Office Building,202-225-6165,202-225-3512,OK,4,false,4004,3.02,94.15
C001059,https://api.propublica.org/congress/v1/members/C001059.json,Jim,,Costa,1952-04-13,D,,RepJimCosta,RepJimCosta,RepJimCostaCA20,400618,19599,3577,20501,N00026341,/m/04chm2,https://costa.house.gov/,https://costa.house.gov/rss.xml,,true,-0.185,,14,2018,529,113,0,ocd-division/country:us/state:ca/cd:16,2081 Rayburn House Office Building,202-225-3341,202-225-9308,CA,16,false,0616,21.36,81.01
C001061,https://api.propublica.org/congress/v1/members/C001061.json,Emanuel,,Cleaver II,1944-10-26,D,,RepCleaver,emanuelcleaverii,repcleaver,400639,10933,39507,20517,N00026790,/m/04cbbm,https://cleaver.house.gov/,https://cleaver.house.gov/rss.xml,,true,-0.452,,14,2018,529,79,0,ocd-division/country:us/state:mo/cd:5,2335 Rayburn House Office Building,202-225-4535,202-225-4403,MO,5,false,2905,14.93,96.44
C001062,https://api.propublica.org/congress/v1/members/C001062.json,K.,Michael,Conaway,1948-06-11,R,,ConawayTX11,mike.conaway,mikeconaway11,400655,1004595,49935,20531,N00026041,/m/04cmt7,https://conaway.house.gov/,,,true,0.592,,14,2018,529,0,0,ocd-division/country:us/state:tx/cd:11,2430 Rayburn House Office Building,202-225-3605,202-225-1783,TX,11,false,4811,0,95.84
C001063,https://api.propublica.org/congress/v1/members/C001063.json,Henry,,Cuellar,1955-09-19,D,,RepCuellar,152569121550,henrycuellar,400657,1013062,5486,20533,N00024978,/m/04clj6,https://cuellar.house.gov/,https://cuellar.house.gov/news/rss.aspx,,true,-0.226,,14,2018,529,4,0,ocd-division/country:us/state:tx/cd:28,2209 Rayburn House Office Building,202-225-1640,202-225-1641,TX,28,false,4828,0.76,81.33
