firstname,middlename,lastname,sortname,name,namemod,nickname,caucus,congress_numbers/0,congress_numbers/1,congress_numbers/2,current,description,district,startdate,enddate,address,contact_form,fax,office,rss_url,leadership_title,party,bioguideid,birthday,cspanid,gender,govtrack_link,osid,pvsid,twitterid,youtubeid,phone,role_type,senator_class,senator_rank,state,title,title_long,website,how
Bill,,Nelson,"Nelson, Bill (Sen.) [D-FL]",Sen. Bill Nelson [D-FL],,,,113,114,115,TRUE,Senior Senator from Florida,,1/3/13,1/3/19,716 Hart Senate Office Building Washington DC 20510,https://www.billnelson.senate.gov/contact-bill,202-228-2183,716 Hart Senate Office Building,,,Democrat,N000032,9/29/42,1931,male,https://www.govtrack.us/congress/members/bill_nelson/300078,N00009926,1606,SenBillNelson,senbillnelson,202-224-5274,senator,class1,senior,FL,Sen.,Senator,https://www.billnelson.senate.gov,
Debbie,Ann,Stabenow,"Stabenow, Debbie (Sen.) [D-MI]",Sen. Debbie Stabenow [D-MI],,,,113,114,115,TRUE,Senior Senator from Michigan,,1/3/13,1/3/19,731 Hart Senate Office Building Washington DC 20510,https://www.stabenow.senate.gov/contact,202-228-0325,731 Hart Senate Office Building,http://stabenow.senate.gov/rss/?p=news,,Democrat,S000770,4/29/50,45451,female,https://www.govtrack.us/congress/members/debbie_stabenow/300093,N00004118,515,SenStabenow,senatorstabenow,202-224-4822,senator,class1,senior,MI,Sen.,Senator,https://www.stabenow.senate.gov,
Christopher,S.,Murphy,"Murphy, Christopher (Sen.) [D-CT]",Sen. Christopher Murphy [D-CT],,,,113,114,115,TRUE,Junior Senator from Connecticut,,1/3/13,1/3/19,136 Hart Senate Office Building Washington DC 20510,http://www.murphy.senate.gov/contact,202-225-5933,136 Hart Senate Office Building,http://www.theday.com/article/20121216/nws12/312169935/1069/rss,,Democrat,M001169,8/3/73,1021270,male,https://www.govtrack.us/congress/members/christopher_murphy/412194,N00027566,17189,senmurphyoffice,senchrismurphy,202-224-4041,senator,class1,junior,CT,Sen.,Senator,https://www.murphy.senate.gov,
Mazie,K.,Hirono,"Hirono, Mazie (Sen.) [D-HI]",Sen. Mazie Hirono [D-HI],,,,113,114,115,TRUE,Junior Senator from Hawaii,,1/3/13,1/3/19,730 Hart Senate Office Building Washington DC 20510,https://www.hirono.senate.gov/contact,202-225-4987,730 Hart Senate Office Building,http://www.hirono.senate.gov/rss/feeds/?type=all,,Democrat,H001042,11/3/47,91216,female,https://www.govtrack.us/congress/members/mazie_hirono/412200,N00028139,1677,MazieHirono,CongresswomanHirono,202-224-6361,senator,class1,junior,HI,Sen.,Senator,https://www.hirono.senate.gov,
Joe,,Donnelly,"Donnelly, Joe (Sen.) [D-IN]",Sen. Joe Donnelly [D-IN],,,,113,114,115,TRUE,Senior Senator from Indiana,,1/3/13,1/3/19,720 Hart Senate Office Building Washington DC 20510,https://www.donnelly.senate.gov/contact/email-joe,202-225-6798,720 Hart Senate Office Building,http://www.donnelly.senate.gov/rss/feeds/?type=all,,Democrat,D000607,9/28/55,1012000,male,https://www.govtrack.us/congress/members/joe_donnelly/412205,N00026586,34212,SenDonnelly,sendonnelly,202-224-4814,senator,class1,senior,IN,Sen.,Senator,https://www.donnelly.senate.gov,
Dean,,Heller,"Heller, Dean (Sen.) [R-NV]",Sen. Dean Heller [R-NV],,,,113,114,115,TRUE,Senior Senator from Nevada,,1/3/13,1/3/19,324 Hart Senate Office Building Washington DC 20510,http://www.heller.senate.gov/public/index.cfm/contact-form,202-228-6753,324 Hart Senate Office Building,http://www.heller.senate.gov/public/index.cfm/rss/feed,,Republican,H001041,5/10/60,1012368,male,https://www.govtrack.us/congress/members/dean_heller/412218,N00027522,2291,SenDeanHeller,SenDeanHeller,202-224-6244,senator,class1,senior,NV,Sen.,Senator,https://www.heller.senate.gov/public,
Kirsten,E.,Gillibrand,"Gillibrand, Kirsten (Sen.) [D-NY]",Sen. Kirsten Gillibrand [D-NY],,,,113,114,115,TRUE,Junior Senator from New York,,1/3/13,1/3/19,478 Russell Senate Office Building Washington DC 20510,https://www.gillibrand.senate.gov/contact/email-me,202-228-0282,478 Russell Senate Office Building,http://www.gillibrand.senate.gov/rss/,,Democrat,G000555,12/9/66,1022862,female,https://www.govtrack.us/congress/members/kirsten_gillibrand/412223,N00027658,65147,SenGillibrand,KirstenEGillibrand,202-224-4451,senator,class1,junior,NY,Sen.,Senator,https://www.gillibrand.senate.gov,
Amy,Jean,Klobuchar,"Klobuchar, Amy (Sen.) [D-MN]",Sen. Amy Klobuchar [D-MN],,,,113,114,115,TRUE,Senior Senator from Minnesota,,1/3/13,1/3/19,302 Hart Senate Office Building Washington DC 20510,http://www.klobuchar.senate.gov/public/index.cfm/contact,202-228-2186,302 Hart Senate Office Building,,,Democrat,K000367,5/25/60,83701,female,https://www.govtrack.us/congress/members/amy_klobuchar/412242,N00027500,65092,,senatorklobuchar,202-224-3244,senator,class1,senior,MN,Sen.,Senator,https://www.klobuchar.senate.gov,
Claire,,McCaskill,"McCaskill, Claire (Sen.) [D-MO]",Sen. Claire McCaskill [D-MO],,,,113,114,115,TRUE,Senior Senator from Missouri,,1/3/13,1/3/19,503 Hart Senate Office Building Washington DC 20510,http://www.mccaskill.senate.gov/contact,202-228-6326,503 Hart Senate Office Building,http://mccaskill.senate.gov/rss/?p=news,,Democrat,M001170,7/24/53,1012014,female,https://www.govtrack.us/congress/members/claire_mccaskill/412243,N00027694,2109,McCaskillOffice,SenatorMcCaskill,202-224-6154,senator,class1,senior,MO,Sen.,Senator,https://www.mccaskill.senate.gov,
Jon,,Tester,"Tester, Jon (Sen.) [D-MT]",Sen. Jon Tester [D-MT],,,,113,114,115,TRUE,Senior Senator from Montana,,1/3/13,1/3/19,311 Hart Senate Office Building Washington DC 20510,https://www.tester.senate.gov/?p=email_senator,202-224-8594,311 Hart Senate Office Building,http://www.tester.senate.gov/rss/?p=hot_topic,,Democrat,T000464,8/21/56,1020176,male,https://www.govtrack.us/congress/members/jon_tester/412244,N00027605,20928,SenatorTester,senatorjontester,202-224-2644,senator,class1,senior,MT,Sen.,Senator,https://www.tester.senate.gov,
Robert,P.,Casey,"Casey, Robert â€œBobâ€ù (Sen.) [D-PA]",Sen. Robert â€œBobâ€ù Casey [D-PA],Jr.,Bob,,113,114,115,TRUE,Senior Senator from Pennsylvania,,1/3/13,1/3/19,393 Russell Senate Office Building Washington DC 20510,https://www.casey.senate.gov/contact/,202-228-0604,393 Russell Senate Office Building,http://www.casey.senate.gov/rss/feeds/?all,,Democrat,C001070,4/13/60,47036,male,https://www.govtrack.us/congress/members/robert_casey/412246,N00027503,2541,SenBobCasey,SenatorBobCasey,202-224-6324,senator,class1,senior,PA,Sen.,Senator,https://www.casey.senate.gov,
Sheldon,,Whitehouse,"Whitehouse, Sheldon (Sen.) [D-RI]",Sen. Sheldon Whitehouse [D-RI],,,,113,114,115,TRUE,Junior Senator from Rhode Island,,1/3/13,1/3/19,530 Hart Senate Office Building Washington DC 20510,https://www.whitehouse.senate.gov/contact/email-sheldon,202-228-6362,530 Hart Senate Office Building,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,,Democrat,W000802,10/20/55,92235,male,https://www.govtrack.us/congress/members/sheldon_whitehouse/412247,N00027533,2572,SenWhitehouse,SenatorWhitehouse,202-224-2921,senator,class1,junior,RI,Sen.,Senator,https://www.whitehouse.senate.gov,
Bob,,Corker,"Corker, Bob (Sen.) [R-TN]",Sen. Bob Corker [R-TN],,,,113,114,115,TRUE,Junior Senator from Tennessee,,1/3/13,1/3/19,425 Dirksen Senate Office Building Washington DC 20510,https://www.corker.senate.gov/public/index.cfm/emailme,202-228-0566,425 Dirksen Senate Office Building,http://www.corker.senate.gov/public/index.cfm/rss/feed,,Republican,C001071,8/24/52,1021114,male,https://www.govtrack.us/congress/members/bob_corker/412248,N00027441,65905,SenBobCorker,senatorcorker,202-224-3344,senator,class1,junior,TN,Sen.,Senator,https://www.corker.senate.gov,
John,A.,Barrasso,"Barrasso, John (Sen.) [R-WY]",Sen. John Barrasso [R-WY],,,,113,114,115,TRUE,Junior Senator from Wyoming,,1/3/13,1/3/19,307 Dirksen Senate Office Building Washington DC 20510,https://www.barrasso.senate.gov/public/index.cfm/contact-form,202-224-1724,307 Dirksen Senate Office Building,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,,Republican,B001261,7/21/52,1024777,male,https://www.govtrack.us/congress/members/john_barrasso/412251,N00006236,52662,SenJohnBarrasso,barrassowyo,202-224-6441,senator,class1,junior,WY,Sen.,Senator,https://www.barrasso.senate.gov,
Martin,,Heinrich,"Heinrich, Martin (Sen.) [D-NM]",Sen. Martin Heinrich [D-NM],,,,113,114,115,TRUE,Junior Senator from New Mexico,,1/3/13,1/3/19,303 Hart Senate Office Building Washington DC 20510,http://www.heinrich.senate.gov/contact,202-225-4975,303 Hart Senate Office Building,,,Democrat,H001046,10/17/71,1030686,male,https://www.govtrack.us/congress/members/martin_heinrich/412281,N00029835,74517,MartinHeinrich,SenMartinHeinrich,202-224-5521,senator,class1,junior,NM,Sen.,Senator,https://www.heinrich.senate.gov,
Joe,,Manchin,"Manchin, Joe (Sen.) [D-WV]",Sen. Joe Manchin [D-WV],III,,,113,114,115,TRUE,Senior Senator from West Virginia,,1/3/13,1/3/19,306 Hart Senate Office Building Washington DC 20510,http://www.manchin.senate.gov/public/index.cfm/contact-form,202-228-0002,306 Hart Senate Office Building,http://www.manchin.senate.gov/public/index.cfm/rss/feed,,Democrat,M001183,8/24/47,62864,male,https://www.govtrack.us/congress/members/joe_manchin/412391,N00032838,7547,Sen_JoeManchin,SenatorJoeManchin,202-224-3954,senator,class1,senior,WV,Sen.,Senator,https://www.manchin.senate.gov/public,
Elizabeth,,Warren,"Warren, Elizabeth (Sen.) [D-MA]",Sen. Elizabeth Warren [D-MA],,,,113,114,115,TRUE,Senior Senator from Massachusetts,,1/3/13,1/3/19,317 Hart Senate Office Building Washington DC 20510,https://www.warren.senate.gov/?p=email_senator,202-228-2072,317 Hart Senate Office Building,http://www.warren.senate.gov/rss/?p=hot_topic,,Democrat,W000817,6/22/49,1023023,female,https://www.govtrack.us/congress/members/elizabeth_warren/412542,N00033492,141272,SenWarren,senelizabethwarren,202-224-4543,senator,class1,senior,MA,Sen.,Senator,https://www.warren.senate.gov,
Angus,,King,"King, Angus (Sen.) [I-ME]",Sen. Angus King [I-ME],,,Democrat,113,114,115,TRUE,Junior Senator from Maine,,1/3/13,1/3/19,133 Hart Senate Office Building Washington DC 20510,https://www.king.senate.gov/contact,202-224-1946,133 Hart Senate Office Building,http://www.king.senate.gov/rss/feeds/?type=all,,Independent,K000383,3/31/44,37413,male,https://www.govtrack.us/congress/members/angus_king/412545,N00034580,22381,SenAngusKing,SenatorAngusKing,202-224-5344,senator,class1,junior,ME,Sen.,Senator,https://www.king.senate.gov,
Heidi,,Heitkamp,"Heitkamp, Heidi (Sen.) [D-ND]",Sen. Heidi Heitkamp [D-ND],,,,113,114,115,TRUE,Junior Senator from North Dakota,,1/3/13,1/3/19,516 Hart Senate Office Building Washington DC 20510,http://www.heitkamp.senate.gov/public/index.cfm/contact,202-224-7776,516 Hart Senate Office Building,http://www.heitkamp.senate.gov/public/index.cfm/rss/feed,,Democrat,H001069,10/30/55,95414,female,https://www.govtrack.us/congress/members/heidi_heitkamp/412554,N00033782,41716,SenatorHeitkamp,senatorheidiheitkamp,202-224-2043,senator,class1,junior,ND,Sen.,Senator,https://www.heitkamp.senate.gov/public,
Deb,,Fischer,"Fischer, Deb (Sen.) [R-NE]",Sen. Deb Fischer [R-NE],,,,113,114,115,TRUE,Senior Senator from Nebraska,,1/3/13,1/3/19,454 Russell Senate Office Building Washington DC 20510,http://www.fischer.senate.gov/public/index.cfm/contact,202-228-1325,454 Russell Senate Office Building,http://www.fischer.senate.gov/public/index.cfm/rss/feed,,Republican,F000463,3/1/51,1034067,female,https://www.govtrack.us/congress/members/deb_fischer/412556,N00033443,41963,SenatorFischer,senatordebfischer,202-224-6551,senator,class1,senior,NE,Sen.,Senator,https://www.fischer.senate.gov,
Ted,,Cruz,"Cruz, Ted (Sen.) [R-TX]",Sen. Ted Cruz [R-TX],,,,113,114,115,TRUE,Junior Senator from Texas,,1/3/13,1/3/19,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,202-228-3398,404 Russell Senate Office Building,,,Republican,C001098,12/22/70,1019953,male,https://www.govtrack.us/congress/members/ted_cruz/412573,N00033085,135705,SenTedCruz,sentedcruz,202-224-5922,senator,class1,junior,TX,Sen.,Senator,https://www.cruz.senate.gov,
Timothy,,Kaine,"Kaine, Timothy (Sen.) [D-VA]",Sen. Timothy Kaine [D-VA],,,,113,114,115,TRUE,Junior Senator from Virginia,,1/3/13,1/3/19,231 Russell Senate Office Building Washington DC 20510,https://www.kaine.senate.gov/contact,202-228-6363,231 Russell Senate Office Building,http://www.kaine.senate.gov/rss/feeds/?type=all,,Democrat,K000384,2/26/58,49219,male,https://www.govtrack.us/congress/members/timothy_kaine/412582,N00033177,50772,SenKaineOffice,SenatorTimKaine,202-224-4024,senator,class1,junior,VA,Sen.,Senator,https://www.kaine.senate.gov,
Roger,F.,Wicker,"Wicker, Roger (Sen.) [R-MS]",Sen. Roger Wicker [R-MS],,,,113,114,115,TRUE,Junior Senator from Mississippi,,1/3/13,1/3/19,555 Dirksen Senate Office Building Washington DC 20510,https://www.wicker.senate.gov/public/index.cfm/contact,202-228-0378,555 Dirksen Senate Office Building,,,Republican,W000437,7/5/51,18203,male,https://www.govtrack.us/congress/members/roger_wicker/400432,N00003280,21926,SenatorWicker,SenatorWicker,202-224-6253,senator,class1,junior,MS,Sen.,Senator,https://www.wicker.senate.gov,
Lamar,,Alexander,"Alexander, Lamar (Sen.) [R-TN]",Sen. Lamar Alexander [R-TN],,,,114,115,116,TRUE,Senior Senator from Tennessee,,1/6/15,1/3/21,455 Dirksen Senate Office Building Washington DC 20510,http://www.alexander.senate.gov/public/index.cfm?p=Email,202-228-3398,455 Dirksen Senate Office Building,http://www.alexander.senate.gov/public/?a=rss.feed,,Republican,A000360,7/3/40,5,male,https://www.govtrack.us/congress/members/lamar_alexander/300002,N00009888,15691,SenAlexander,lamaralexander,202-224-4944,senator,class2,senior,TN,Sen.,Senator,https://www.alexander.senate.gov/public,
Thad,,Cochran,"Cochran, Thad (Sen.) [R-MS]",Sen. Thad Cochran [R-MS],,,,114,115,116,TRUE,Senior Senator from Mississippi,,1/6/15,1/3/21,113 Dirksen Senate Office Building Washington DC 20510,https://www.cochran.senate.gov/public/index.cfm/email-me,202-224-9450,113 Dirksen Senate Office Building,http://www.cochran.senate.gov/public/index.cfm/rss/feed,,Republican,C000567,12/7/37,1200,male,https://www.govtrack.us/congress/members/thad_cochran/300023,N00003328,53312,SenThadCochran,sencochran,202-224-5054,senator,class2,senior,MS,Sen.,Senator,https://www.cochran.senate.gov,
Susan,M.,Collins,"Collins, Susan (Sen.) [R-ME]",Sen. Susan Collins [R-ME],,,,114,115,116,TRUE,Senior Senator from Maine,,1/6/15,1/3/21,413 Dirksen Senate Office Building Washington DC 20510,http://www.collins.senate.gov/contact,202-224-2693,413 Dirksen Senate Office Building,http://www.collins.senate.gov/public/?a=rss.feed,,Republican,C001035,12/7/52,45738,female,https://www.govtrack.us/congress/members/susan_collins/300025,N00000491,379,SenatorCollins,SenatorSusanCollins,202-224-2523,senator,class2,senior,ME,Sen.,Senator,https://www.collins.senate.gov,
John,,Cornyn,"Cornyn, John (Sen.) [R-TX]",Sen. John Cornyn [R-TX],,,,114,115,116,TRUE,Senior Senator from Texas,,1/6/15,1/3/21,517 Hart Senate Office Building Washington DC 20510,https://www.cornyn.senate.gov/contact,202-228-2856,517 Hart Senate Office Building,http://www.cornyn.senate.gov/public/?a=rss.feed,Majority Whip,Republican,C001056,2/2/52,93131,male,https://www.govtrack.us/congress/members/john_cornyn/300027,N00024852,15375,JohnCornyn,senjohncornyn,202-224-2934,senator,class2,senior,TX,Sen.,Senator,https://www.cornyn.senate.gov,
Richard,J.,Durbin,"Durbin, Richard (Sen.) [D-IL]",Sen. Richard Durbin [D-IL],,,,114,115,116,TRUE,Senior Senator from Illinois,,1/6/15,1/3/21,711 Hart Senate Office Building Washington DC 20510,https://www.durbin.senate.gov/contact/,202-228-0400,711 Hart Senate Office Building,http://durbin.senate.gov/public/index.cfm/rss/feed,Minority Whip,Democrat,D000563,11/21/44,6741,male,https://www.govtrack.us/congress/members/richard_durbin/300038,N00004981,26847,SenatorDurbin,SenatorDurbin,202-224-2152,senator,class2,senior,IL,Sen.,Senator,https://www.durbin.senate.gov,
Michael,B.,Enzi,"Enzi, Michael (Sen.) [R-WY]",Sen. Michael Enzi [R-WY],,,,114,115,116,TRUE,Senior Senator from Wyoming,,1/6/15,1/3/21,379A Russell Senate Office Building Washington DC 20510,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,202-228-0359,379a Russell Senate Office Building,http://www.enzi.senate.gov/public/index.cfm/rss/feed,,Republican,E000285,2/1/44,45824,male,https://www.govtrack.us/congress/members/michael_enzi/300041,N00006249,558,SenatorEnzi,senatorenzi,202-224-3424,senator,class2,senior,WY,Sen.,Senator,https://www.enzi.senate.gov,
Lindsey,O.,Graham,"Graham, Lindsey (Sen.) [R-SC]",Sen. Lindsey Graham [R-SC],,,,114,115,116,TRUE,Senior Senator from South Carolina,,1/6/15,1/3/21,290 Russell Senate Office Building Washington DC 20510,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,202-224-3808,290 Russell Senate Office Building,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,,Republican,G000359,7/9/55,36782,male,https://www.govtrack.us/congress/members/lindsey_graham/300047,N00009975,21992,GrahamBlog,USSenLindseyGraham,202-224-5972,senator,class2,senior,SC,Sen.,Senator,https://www.lgraham.senate.gov/public,
James,M.,Inhofe,"Inhofe, James â€œJimâ€ù (Sen.) [R-OK]",Sen. James â€œJimâ€ù Inhofe [R-OK],,Jim,,114,115,116,TRUE,Senior Senator from Oklahoma,,1/6/15,1/3/21,205 Russell Senate Office Building Washington DC 20510,https://www.inhofe.senate.gov/contact,202-228-0380,205 Russell Senate Office Building,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,,Republican,I000024,11/17/34,5619,male,https://www.govtrack.us/congress/members/james_inhofe/300055,N00005582,27027,InhofePress,jiminhofepressoffice,202-224-4721,senator,class2,senior,OK,Sen.,Senator,https://www.inhofe.senate.gov,
Mitch,,McConnell,"McConnell, Mitch (Sen.) [R-KY]",Sen. Mitch McConnell [R-KY],,,,114,115,116,TRUE,Senior Senator from Kentucky,,1/6/15,1/3/21,317 Russell Senate Office Building Washington DC 20510,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,202-224-2499,317 Russell Senate Office Building,http://www.mcconnell.senate.gov/public/?a=rss.feed,Majority Leader,Republican,M000355,2/20/42,2351,male,https://www.govtrack.us/congress/members/mitch_mcconnell/300072,N00003389,53298,McConnellPress,,202-224-2541,senator,class2,senior,KY,Sen.,Senator,https://www.mcconnell.senate.gov,
John,F.,Reed,"Reed, John â€œJackâ€ù (Sen.) [D-RI]",Sen. John â€œJackâ€ù Reed [D-RI],,Jack,,114,115,116,TRUE,Senior Senator from Rhode Island,,1/6/15,1/3/21,728 Hart Senate Office Building Washington DC 20510,https://www.reed.senate.gov/contact/,202-224-4680,728 Hart Senate Office Building,https://www.reed.senate.gov//rss/feeds/?type=all,,Democrat,R000122,11/12/49,24239,male,https://www.govtrack.us/congress/members/john_reed/300081,N00000362,27060,SenJackReed,SenatorReed,202-224-4642,senator,class2,senior,RI,Sen.,Senator,https://www.reed.senate.gov,
Pat,,Roberts,"Roberts, Pat (Sen.) [R-KS]",Sen. Pat Roberts [R-KS],,,,114,115,116,TRUE,Senior Senator from Kansas,,1/6/15,1/3/21,109 Hart Senate Office Building Washington DC 20510,https://www.roberts.senate.gov/public/?p=EmailPat,202-224-3514,109 Hart Senate Office Building,http://www.roberts.senate.gov/public/?a=rss.feed,,Republican,R000307,4/20/36,16354,male,https://www.govtrack.us/congress/members/pat_roberts/300083,N00005285,26866,SenPatRoberts,SenPatRoberts,202-224-4774,senator,class2,senior,KS,Sen.,Senator,https://www.roberts.senate.gov,
Shelley,Moore,Capito,"Capito, Shelley (Sen.) [R-WV]",Sen. Shelley Capito [R-WV],,,,114,115,116,TRUE,Junior Senator from West Virginia,,1/6/15,1/3/21,172 Russell Senate Office Building Washington DC 20510,https://www.capito.senate.gov/contact/contact-shelley,202-225-7856,172 Russell Senate Office Building,,,Republican,C001047,11/26/53,83737,female,https://www.govtrack.us/congress/members/shelley_capito/400061,N00009771,11701,SenCapito,,202-224-6472,senator,class2,junior,WV,Sen.,Senator,https://www.capito.senate.gov,
