id,title,short_title,api_uri,first_name,middle_name,last_name,date_of_birth,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,url,rss_url,contact_form,in_office,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id,missed_votes_pct,votes_with_party_pct
C000127,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000127.json,Maria,,Cantwell,1958-10-13,D,,SenatorCantwell,senatorcantwell,SenatorCantwell,300018,26137,27122,39310,N00007836,/m/01x68t,https://www.cantwell.senate.gov/,,http://www.cantwell.senate.gov/public/index.cfm/email-maria,true,-0.287,,17,2018,208,2,1,ocd-division/country:us/state:wa,511 Hart Senate Office Building,202-224-3441,202-228-0514,WA,1,junior,S275,0.96,98.06
C000141,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000141.json,Benjamin,L.,Cardin,1943-10-05,D,,SenatorCardin,senatorbencardin,senatorcardin,400064,4004,26888,15408,N00001955,/m/025k3k,https://www.cardin.senate.gov/,,http://www.cardin.senate.gov/contact/,true,-0.329,,11,2018,208,0,1,ocd-division/country:us/state:md,509 Hart Senate Office Building,202-224-4524,202-224-1651,MD,1,senior,S308,0,96.15
C000174,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000174.json,Thomas,R.,Carper,1947-01-23,D,,SenatorCarper,tomcarper,senatorcarper,300019,663,22421,15015,N00012508,/m/01xw7t,https://www.carper.senate.gov/public/,https://www.carper.senate.gov/public/index.cfm/rss/feed,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,true,-0.174,,17,2018,208,5,1,ocd-division/country:us/state:de,513 Hart Senate Office Building,202-224-2441,202-228-2190,DE,1,senior,S277,2.4,91.63
C000567,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C000567.json,Thad,,Cochran,1937-12-07,R,,SenThadCochran,,sencochran,300023,1200,53312,14009,N00003328,/m/01fmcd,https://www.cochran.senate.gov/,https://www.cochran.senate.gov/public/index.cfm/rss/taggedfeed?Type=news-releases&region=&issue=,https://www.cochran.senate.gov/public/index.cfm/email-me,true,0.286,,39,2020,208,10,0,ocd-division/country:us/state:ms,113 Dirksen Senate Office Building,202-224-5054,202-224-9450,MS,2,senior,S136,4.81,98.99
C000880,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000880.json,Michael,D.,Crapo,1951-05-20,R,,MikeCrapo,mikecrapo,senatorcrapo,300030,26440,26830,29345,N00006267,/m/021pgp,https://www.crapo.senate.gov/,,http://www.crapo.senate.gov/contact/email.cfm,true,0.507,,19,2022,208,0,0,ocd-division/country:us/state:id,239 Dirksen Senate Office Building,202-224-6142,202-228-1375,ID,3,senior,S266,0,98.56
C001035,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001035.json,Susan,,Collins,1952-12-07,R,,SenatorCollins,susancollins,SenatorSusanCollins,300025,45738,379,49703,N00000491,/m/020y8m,https://www.collins.senate.gov/,https://www.collins.senate.gov/?q=rss.xml,http://www.collins.senate.gov/contact,true,0.107,,21,2020,208,0,0,ocd-division/country:us/state:me,413 Dirksen Senate Office Building,202-224-2523,202-224-2693,ME,2,senior,S252,0,88.46
C001047,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001047.json,Shelley,Moore,Capito,1953-11-26,R,,SenCapito,senshelley,UCbiXdR4XQ3vD9Xp5lfR9QXw,400061,83737,11701,20146,N00009771,/m/024pwq,https://www.capito.senate.gov/,,https://www.capito.senate.gov/contact/contact-shelley,true,0.258,,3,2020,208,3,0,ocd-division/country:us/state:wv,172 Russell Senate Office Building,202-224-6472,202-225-7856,WV,2,junior,S372,1.44,97.56
C001056,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001056.json,John,,Cornyn,1952-02-02,R,Assistant Leader,JohnCornyn,sen.johncornyn,senjohncornyn,300027,93131,15375,40305,N00024852,/m/01xcqs,https://www.cornyn.senate.gov/,,https://www.cornyn.senate.gov/contact,true,0.497,,15,2020,208,0,0,ocd-division/country:us/state:tx,517 Hart Senate Office Building,202-224-2934,202-228-2856,TX,2,senior,S287,0,99.04
C001070,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C001070.json,Bob,,Casey,1960-04-13,D,,SenBobCasey,SenatorBobCasey,SenatorBobCasey,412246,47036,2541,40703,N00027503,/m/047ymw,https://www.casey.senate.gov/,https://www.casey.senate.gov/rss/feeds/?all,https://www.casey.senate.gov/contact/,true,-0.298,,11,2018,208,0,1,ocd-division/country:us/state:pa,393 Russell Senate Office Building,202-224-6324,202-228-0604,PA,1,senior,S309,0,96.15
C001071,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C001071.json,Bob,,Corker,1952-08-24,R,,SenBobCorker,bobcorker,senatorcorker,412248,1021114,65905,40705,N00027441,/m/0d9fz3,https://www.corker.senate.gov/,https://www.corker.senate.gov/public/index.cfm/rss/feed,https://www.corker.senate.gov/public/index.cfm/emailme,true,0.391,,11,2018,208,2,0,ocd-division/country:us/state:tn,425 Dirksen Senate Office Building,202-224-3344,202-228-0566,TN,1,junior,S310,0.96,95.63
C001075,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001075.json,Bill,,Cassidy,1957-09-28,R,,,,SenatorBillCassidy,412269,1030546,69494,20919,N00030245,/m/0286t7r,https://www.cassidy.senate.gov/,,https://www.cassidy.senate.gov/contact,true,0.453,,3,2020,208,1,0,ocd-division/country:us/state:la,520 Hart Senate Office Building,202-224-5824,202-225-7313,LA,2,senior,S373,0.48,99.03
C001088,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001088.json,Christopher,A.,Coons,1963-09-09,D,,SenCoonsOffice,senatorchriscoons,senatorchriscoons,412390,9269028,122834,40916,N00031820,/m/082d3d,https://www.coons.senate.gov/,https://www.coons.senate.gov/rss/feeds/?type=press,https://www.coons.senate.gov/contact,true,-0.283,,9,2020,208,10,1,ocd-division/country:us/state:de,127a Russell Senate Office Building,202-224-5042,202-228-3075,DE,2,junior,S337,4.81,93.43
C001095,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001095.json,Tom,,Cotton,1977-05-13,R,,SenTomCotton,SenatorTomCotton,RepTomCotton,412508,63928,135651,21301,N00033363,/m/02g3ds,https://www.cotton.senate.gov/,https://www.cotton.senate.gov/rss/,http://www.cotton.senate.gov/?p=contact,true,0.619,,3,2020,208,0,0,ocd-division/country:us/state:ar,124 Russell Senate Office Building,202-224-2353,,AR,2,junior,S374,0,98.56
C001098,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C001098.json,Ted,,Cruz,1970-12-22,R,,SenTedCruz,SenatorTedCruz,sentedcruz,412573,1019953,135705,41304,N00033085,/m/07j6ty,https://www.cruz.senate.gov/,https://www.cruz.senate.gov/rss/,http://www.cruz.senate.gov/?p=email_senator,true,0.884,,5,2018,208,4,0,ocd-division/country:us/state:tx,404 Russell Senate Office Building,202-224-5922,202-228-3398,TX,1,junior,S355,1.92,97.06
C001113,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C001113.json,Catherine,,Cortez Masto,1964-03-29,D,,sencortezmasto,SenatorCortezMasto,,412681,105698,69579,,N00037161,/m/02rtp9t,https://www.cortezmasto.senate.gov/,,https://www.cortezmasto.senate.gov/content/contact-senator,true,,,1,2022,208,0,1,ocd-division/country:us/state:nv,B40a Dirksen Senate Office Building,202-224-3542,,NV,3,junior,S385,0,88.94
D000563,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/D000563.json,Richard,J.,Durbin,1944-11-21,D,Minority Whip,SenatorDurbin,SenatorDurbin,SenatorDurbin,300038,6741,26847,15021,N00004981,/m/01xcd1,https://www.durbin.senate.gov/,,https://www.durbin.senate.gov/contact/,true,-0.365,,21,2020,208,8,1,ocd-division/country:us/state:il,711 Hart Senate Office Building,202-224-2152,202-228-0400,IL,2,senior,S253,3.85,94.5
D000607,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/D000607.json,Joe,,Donnelly,1955-09-28,D,,SenDonnelly,senatordonnelly,sendonnelly,412205,1012000,34212,20717,N00026586,/m/0gmx64,https://www.donnelly.senate.gov/,https://www.donnelly.senate.gov/rss/feeds/?press,https://www.donnelly.senate.gov/contact/email-joe,true,-0.12,,5,2018,208,5,0,ocd-division/country:us/state:in,720 Hart Senate Office Building,202-224-4814,202-225-6798,IN,1,senior,S356,2.4,82.27
D000618,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/D000618.json,Steve,,Daines,1962-08-20,R,,SteveDaines,SteveDainesMT,SteveDainesMT,412549,1034037,135720,21338,N00033054,/m/03qlc5t,https://www.daines.senate.gov/,,https://www.daines.senate.gov/connect/email-steve,true,0.53,,3,2020,208,0,0,ocd-division/country:us/state:mt,320 Hart Senate Office Building,202-224-2651,202-228-1236,MT,2,junior,S375,0,97.6
D000622,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/D000622.json,Tammy,,Duckworth,1968-03-12,D,,SenDuckworth,SenDuckworth,repduckworth,412533,94484,57442,21325,N00027860,/m/09vqjr,https://www.duckworth.senate.gov/,,https://www.duckworth.senate.gov/content/contact-senator,true,-0.298,,1,2022,208,2,1,ocd-division/country:us/state:il,524 Hart Senate Office Building,202-224-2854,,IL,3,junior,S386,0.96,89.81
E000285,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/E000285.json,Michael,B.,Enzi,1944-02-01,R,,SenatorEnzi,mikeenzi,senatorenzi,300041,45824,558,49706,N00006249,/m/021ph1,https://www.enzi.senate.gov/,https://www.enzi.senate.gov/public/?a=rss.feed,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,true,0.537,,21,2020,208,1,0,ocd-division/country:us/state:wy,379a Russell Senate Office Building,202-224-3424,202-228-0359,WY,2,senior,S254,0.48,97.58
E000295,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/E000295.json,Joni,,Ernst,1970-07-01,R,,SenJoniErnst,senjoniernst,,412667,75342,128583,41502,N00035483,/m/0gg4wkg,https://www.ernst.senate.gov/public/,https://www.ernst.senate.gov/public/?a=rss.feed,https://www.ernst.senate.gov/public/index.cfm/contact,true,0.51,,3,2020,208,1,0,ocd-division/country:us/state:ia,111 Russell Senate Office Building,202-224-3254,,IA,2,junior,S376,0.48,97.58
F000062,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/F000062.json,Dianne,,Feinstein,1933-06-22,D,,SenFeinstein,senatorfeinstein,SenatorFeinstein,300043,13061,53273,49300,N00007364,/m/01gqws,https://www.feinstein.senate.gov/,https://www.feinstein.senate.gov/public/?a=rss.feed,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,true,-0.263,,25,2018,208,24,1,ocd-division/country:us/state:ca,331 Hart Senate Office Building,202-224-3841,202-228-3954,CA,1,senior,S221,11.54,94.02
F000444,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/F000444.json,Jeff,,Flake,1962-12-31,R,,JeffFlake,senatorjeffflake,flakeoffice,400134,87582,28128,20100,N00009573,/m/024p7j,https://www.flake.senate.gov/public/,https://www.flake.senate.gov/public/?a=rss.feed,https://www.flake.senate.gov/public/index.cfm/contact-jeff,true,0.855,,5,2018,208,10,0,ocd-division/country:us/state:az,413 Russell Senate Office Building,202-224-4521,202-226-4386,AZ,1,junior,S358,4.81,96.46
F000457,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/F000457.json,Al,,Franken,1951-05-21,D,,SenFranken,senatoralfranken,SenatorFranken,412378,23334,108924,40904,N00029016,/m/01lct6,https://www.franken.senate.gov/,https://www.franken.senate.gov/rss/,https://www.franken.senate.gov/?p=contact,true,-0.416,,9,2020,208,3,1,ocd-division/country:us/state:mn,309 Hart Senate Office Building,202-224-5641,202-224-0044,MN,2,junior,S332,1.44,98.05
F000463,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/F000463.json,Deb,,Fischer,1951-03-01,R,,SenatorFischer,senatordebfischer,senatordebfischer,412556,1034067,41963,41302,N00033443,/m/0c4cp0,https://www.fischer.senate.gov/,,http://www.fischer.senate.gov/public/index.cfm/contact,true,0.474,,5,2018,208,0,0,ocd-division/country:us/state:ne,454 Russell Senate Office Building,202-224-6551,202-228-1325,NE,1,senior,S357,0,98.08
G000359,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/G000359.json,Lindsey,,Graham,1955-07-09,R,,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,300047,36782,21992,29566,N00009975,/m/01_pdg,https://www.lgraham.senate.gov/public/,https://www.lgraham.senate.gov/public/?a=rss.feed,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,true,0.409,,15,2020,208,10,0,ocd-division/country:us/state:sc,290 Russell Senate Office Building,202-224-5972,202-224-3808,SC,2,senior,S293,4.81,96.97
G000386,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/G000386.json,Charles,E.,Grassley,1933-09-17,R,,ChuckGrassley,grassley,senchuckgrassley,300048,1167,53293,14226,N00001758,/m/020ymy,https://www.grassley.senate.gov/,https://www.grassley.senate.gov/?q=rss.xml,http://www.grassley.senate.gov/contact,true,0.341,,37,2022,208,0,0,ocd-division/country:us/state:ia,135 Hart Senate Office Building,202-224-3744,202-224-6020,IA,3,senior,S153,0,97.12
G000555,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/G000555.json,Kirsten,E.,Gillibrand,1966-12-09,D,,SenGillibrand,KirstenGillibrand,KirstenEGillibrand,412223,1022862,65147,20735,N00027658,/m/0gnfc4,https://www.gillibrand.senate.gov/,,http://www.gillibrand.senate.gov/contact/,true,-0.334,,9,2018,208,0,1,ocd-division/country:us/state:ny,478 Russell Senate Office Building,202-224-4451,202-228-0282,NY,1,junior,S331,0,78.85
G000562,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/G000562.json,Cory,,Gardner,1974-08-22,R,,SenCoryGardner,SenCoryGardner,,412406,623308,30004,21112,N00030780,/m/0czd33q,https://www.gardner.senate.gov/,,https://www.gardner.senate.gov/contact-cory/email-cory,true,0.456,,3,2020,208,0,0,ocd-division/country:us/state:co,354 Russell Senate Office Building,202-224-5941,202-225-5870,CO,2,junior,S377,0,98.56
H000338,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/H000338.json,Orrin,G.,Hatch,1934-03-22,R,,SenOrrinHatch,senatororrinhatch,SenatorOrrinHatch,300052,189,53352,14503,N00009869,/m/016mj4,https://www.hatch.senate.gov/,https://www.hatch.senate.gov/public/index.cfm/rss/feed,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,true,0.382,,41,2018,208,0,0,ocd-division/country:us/state:ut,104 Hart Senate Office Building,202-224-5251,202-224-6331,UT,1,senior,S118,0,98.56
H001041,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/H001041.json,Dean,,Heller,1960-05-10,R,,SenDeanHeller,SenDeanHeller,SenDeanHeller,412218,1012368,2291,20730,N00027522,/m/0g92xz,https://www.heller.senate.gov/public/,https://www.heller.senate.gov/public/?a=RSS.Feed,http://www.heller.senate.gov/public/index.cfm/contact-form,true,0.461,,7,2018,208,2,0,ocd-division/country:us/state:nv,324 Hart Senate Office Building,202-224-6244,202-228-6753,NV,1,senior,S352,0.96,89.81
H001042,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/H001042.json,Mazie,K.,Hirono,1947-11-03,D,,MazieHirono,senatorhirono,CongresswomanHirono,412200,91216,1677,20713,N00028139,/m/0357cd,https://www.hirono.senate.gov/,https://www.hirono.senate.gov/rss/feeds/,https://www.hirono.senate.gov/contact,true,-0.492,,5,2018,208,6,1,ocd-division/country:us/state:hi,730 Hart Senate Office Building,202-224-6361,202-225-4987,HI,1,junior,S361,2.88,94.06
H001046,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/H001046.json,Martin,,Heinrich,1971-10-17,D,,MartinHeinrich,MartinHeinrich,SenMartinHeinrich,412281,1030686,74517,20930,N00029835,/m/02qkv0r,https://www.heinrich.senate.gov/,,http://www.heinrich.senate.gov/contact,true,-0.283,,5,2018,208,1,1,ocd-division/country:us/state:nm,303 Hart Senate Office Building,202-224-5521,202-225-4975,NM,1,junior,S359,0.48,92.27
H001061,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/H001061.json,John,,Hoeven,1957-03-13,R,,SenJohnHoeven,SenatorJohnHoeven,senatorjohnhoevennd,412494,85233,41788,41107,N00031688,/m/01qb45,https://www.hoeven.senate.gov/,,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,true,0.338,,7,2022,208,2,0,ocd-division/country:us/state:nd,338 Russell Senate Office Building,202-224-2551,202-224-7999,ND,3,senior,S344,0.96,99.51
H001069,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/H001069.json,Heidi,,Heitkamp,1955-10-30,D,,SenatorHeitkamp,SenatorHeidiHeitkamp,senatorheidiheitkamp,412554,95414,41716,41303,N00033782,/m/02f501,https://www.heitkamp.senate.gov/public/,https://www.heitkamp.senate.gov/public/?a=rss.feed,http://www.heitkamp.senate.gov/public/index.cfm/contact,true,-0.129,,5,2018,208,0,0,ocd-division/country:us/state:nd,516 Hart Senate Office Building,202-224-2043,202-224-7776,ND,1,junior,S360,0,76.92
H001075,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/H001075.json,Kamala,,Harris,1964-10-20,D,,SenKamalaHarris,,,412678,1018696,120012,,N00036915,/m/08sry2,https://www.harris.senate.gov/,,https://www.harris.senate.gov/content/contact-senator,true,,,1,2022,208,1,1,ocd-division/country:us/state:ca,112 Hart Senate Office Building,202-224-3553,,CA,3,junior,S387,0.48,85.02
H001076,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/H001076.json,Margaret,,Hassan,1958-02-27,D,,Senatorhassan,SenatorHassan,,412680,67481,42552,,N00038397,/m/03c3zch,https://www.hassan.senate.gov/,,https://www.hassan.senate.gov/content/contact-senator,true,,,1,2022,208,0,1,ocd-division/country:us/state:nh,B85 Russell Senate Office Building,202-224-3324,,NH,3,junior,S388,0,95.19
I000024,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/I000024.json,James,M.,Inhofe,1934-11-17,R,,InhofePress,jiminhofe,jiminhofepressoffice,300055,5619,27027,15424,N00005582,/m/021kpl,https://www.inhofe.senate.gov/,,https://www.inhofe.senate.gov/contact,true,0.551,,25,2020,208,4,0,ocd-division/country:us/state:ok,205 Russell Senate Office Building,202-224-4721,202-228-0380,OK,2,senior,S236,1.92,98.53
I000055,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/I000055.json,Johnny,,Isakson,1944-12-28,R,,SenatorIsakson,,SenatorIsakson,400194,59135,1721,29909,N00002593,/m/02556q,https://www.isakson.senate.gov/,https://www.isakson.senate.gov/public/?a=RSS.Feed,https://www.isakson.senate.gov/public/index.cfm/email-me,true,0.404,,13,2022,208,48,0,ocd-division/country:us/state:ga,131 Russell Senate Office Building,202-224-3643,202-228-0724,GA,3,senior,S305,23.08,98.75
J000293,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/J000293.json,Ron,,Johnson,1955-04-08,R,,SenRonJohnson,senronjohnson,SenatorRonJohnson,412496,62835,126217,41111,N00032546,/m/0cmdpzc,https://www.ronjohnson.senate.gov/,https://www.ronjohnson.senate.gov/public/?a=rss.feed,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,true,0.594,,7,2022,208,1,0,ocd-division/country:us/state:wi,328 Hart Senate Office Building,202-224-5323,920-230-7262,WI,3,senior,S345,0.48,98.55
K000367,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/K000367.json,Amy,,Klobuchar,1960-05-25,D,,,,senatorklobuchar,412242,83701,65092,40700,N00027500,/m/05fbpt,https://www.klobuchar.senate.gov/,,http://www.klobuchar.senate.gov/public/index.cfm/contact,true,-0.239,,11,2018,208,0,1,ocd-division/country:us/state:mn,302 Hart Senate Office Building,202-224-3244,202-228-2186,MN,1,senior,S311,0,96.15
K000383,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/K000383.json,Angus,,King,1944-03-31,I,,SenAngusKing,SenatorAngusSKingJr,SenatorAngusKing,412545,37413,22381,41300,N00034580,/m/02hfx0,https://www.king.senate.gov/,https://www.king.senate.gov/rss/feeds/?type=all,,true,-0.148,,5,2018,208,0,0,ocd-division/country:us/state:me,,202-224-5344,,ME,1,junior,S363,0,82.69
K000384,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/K000384.json,Tim,,Kaine,1958-02-26,D,,SenKaineOffice,SenatorKaine,SenatorTimKaine,412582,49219,50772,41305,N00033177,/m/053f8h,https://www.kaine.senate.gov/,https://www.kaine.senate.gov/rss/feeds/,https://www.kaine.senate.gov/contact,true,-0.229,,5,2018,208,3,1,ocd-division/country:us/state:va,231 Russell Senate Office Building,202-224-4024,202-228-6363,VA,1,junior,S362,1.44,93.66
K000393,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/K000393.json,John,,Kennedy,1951-11-21,R,,SenJohnKennedy,JohnKennedyLouisiana,,412679,1011723,35496,,N00026823,/m/0fl2sv,https://www.kennedy.senate.gov/,,https://www.kennedy.senate.gov/content/contact-senator,true,,,1,2022,208,0,0,ocd-division/country:us/state:la,B11 Russell Senate Office Building,202-224-4623,,LA,3,junior,S389,0,97.12
L000174,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/L000174.json,Patrick,J.,Leahy,1940-03-31,D,,SenatorLeahy,SenatorPatrickLeahy,SenatorPatrickLeahy,300065,1552,53353,14307,N00009918,/m/0202kf,https://www.leahy.senate.gov/,,https://www.leahy.senate.gov/contact/,true,-0.375,,43,2022,208,4,1,ocd-division/country:us/state:vt,437 Russell Senate Office Building,202-224-4242,202-224-3479,VT,3,senior,S057,1.92,96.57
